,symboling,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,enginetype,cylindernumber,fuelsystem,brandName,wheelbase,carlength,carwidth,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price
107,0,gas,std,four,sedan,rwd,front,I_Rotor,two_three_four,mpfi_s,mid_level,107.9,186.7,68.4,56.7,3020,120,3.46,3.19,8.4,97,5000,19,24,11900.0
191,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,five_six,mpfi_s,entry_level,100.4,180.2,66.9,55.1,2661,136,3.19,3.4,8.5,110,5500,19,24,13295.0
167,1_2_level_pos,gas,std,two,level_convertible_hardtop,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,98.4,176.2,65.6,52.0,2540,146,3.62,3.5,9.3,116,4800,24,30,8449.0
59,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,8845.0
80,3,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,96.3,173.0,65.4,49.4,2370,110,3.17,3.46,7.5,116,5500,23,30,9959.0
200,level-1_-2,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,109.1,188.8,68.9,55.5,2952,141,3.78,3.15,9.5,114,5400,23,28,16845.0
106,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHCV_DOHCV,five_six,mpfi_s,entry_level,99.2,178.5,67.9,49.7,3139,181,3.43,3.27,9.0,160,5200,19,25,18399.0
178,3,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,entry_level,102.9,183.5,67.7,52.0,2976,171,3.27,3.35,9.3,161,5200,20,24,16558.0
82,3,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,95.9,173.2,66.3,50.2,2833,156,3.58,3.86,7.0,145,5000,19,24,12629.0
182,1_2_level_pos,diesel,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,97.3,171.7,65.5,55.7,2261,97,3.01,3.4,23.0,52,4800,37,46,7775.0
103,0,gas,std,four,sedan,4wd_fed,front,OHCV_DOHCV,five_six,mpfi_s,entry_level,100.4,184.6,66.5,55.1,3060,181,3.43,3.27,9.0,152,5200,19,25,13499.0
15,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,103.5,189.0,66.9,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,30760.0
98,1_2_level_pos,gas,std,two,level_convertible_hardtop,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.1,162.4,63.8,53.3,2008,97,3.15,3.29,9.4,69,5200,31,37,8249.0
194,level-1_-2,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,104.3,188.8,67.2,56.2,2912,141,3.78,3.15,9.5,114,5400,23,28,12940.0
159,0,diesel,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,95.7,166.3,64.4,52.8,2275,110,3.27,3.35,22.5,56,4500,38,47,7788.0
133,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,99.1,186.6,66.5,56.1,2695,121,3.54,3.07,9.3,110,5250,21,28,12170.0
16,0,gas,std,two,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,103.5,193.8,67.9,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,41315.0
60,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,8495.0
105,3,gas,turbo,two,level_wagon_hatchback,rwd,front,OHCV_DOHCV,five_six,mpfi_s,entry_level,91.3,170.7,67.9,49.7,3139,181,3.43,3.27,7.8,200,5200,17,23,19699.0
157,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,166.3,64.4,52.8,2109,98,3.19,3.03,9.0,70,4800,30,37,7198.0
124,3,gas,turbo,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,95.9,173.2,66.3,50.2,2818,156,3.59,3.86,7.0,145,5000,19,24,12764.0
21,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,5572.0
75,1_2_level_pos,gas,turbo,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,102.7,178.4,68.0,54.8,2910,140,3.78,3.12,8.0,175,5000,19,24,16503.0
77,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,64.4,50.8,1944,92,2.97,3.23,9.4,68,5500,31,38,6189.0
52,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.1,159.1,64.2,54.1,1905,91,3.03,3.15,9.0,68,5000,31,38,6795.0
68,level-1_-2,diesel,turbo,four,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,five_six,idi,high_end,110.0,190.9,70.3,58.7,3750,183,3.58,3.64,21.5,123,4350,22,25,28248.0
49,0,gas,std,two,sedan,rwd,front,OHCV_DOHCV,eight_twelve,mpfi_s,high_end,102.0,191.7,70.6,47.8,3950,326,3.54,2.76,11.5,262,5000,13,17,36000.0
173,level-1_-2,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,102.4,175.6,66.5,54.9,2326,122,3.31,3.54,8.7,92,4200,29,34,8948.0
155,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,169.7,63.6,59.1,3110,92,3.05,3.03,9.0,62,4800,27,32,8778.0
50,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.1,159.1,64.2,54.1,1890,91,3.03,3.15,9.0,68,5000,30,31,5195.0
119,1_2_level_pos,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,93.7,157.3,63.8,50.8,2128,98,3.03,3.39,7.6,102,5500,24,30,7957.0
97,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,170.2,63.8,53.5,2037,97,3.15,3.29,9.4,69,5200,31,37,7999.0
71,level-1_-2,gas,std,four,sedan,rwd,front,OHCV_DOHCV,eight_twelve,mpfi_s,high_end,115.6,202.6,71.7,56.5,3740,234,3.46,3.1,8.3,155,4750,16,18,34184.0
2,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHCV_DOHCV,five_six,mpfi_s,mid_level,94.5,171.2,65.5,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,16500.0
158,0,diesel,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,95.7,166.3,64.4,53.0,2275,110,3.27,3.35,22.5,56,4500,34,36,7898.0
123,level-1_-2,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,103.3,174.6,64.6,59.8,2535,122,3.35,3.46,8.5,88,5000,24,30,8921.0
55,3,gas,std,two,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,bbl4_spdi_spfi,entry_level,95.3,169.0,65.7,49.6,2380,70,3.33,3.255,9.4,101,6000,17,23,10945.0
65,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,104.9,175.0,66.1,54.4,2670,140,3.76,3.16,8.0,120,5000,19,27,18280.0
85,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.3,172.4,65.4,51.6,2365,122,3.35,3.46,8.5,88,5000,25,32,6989.0
201,level-1_-2,gas,turbo,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,109.1,188.8,68.8,55.5,3049,141,3.78,3.15,8.7,160,5300,19,25,19045.0
46,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,96.0,172.6,65.2,51.4,2734,119,3.43,3.23,9.2,90,5000,24,29,11048.0
151,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,158.7,63.6,54.5,2040,92,3.05,3.03,9.0,62,4800,31,38,6338.0
188,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.3,171.7,65.5,55.7,2300,109,3.19,3.4,10.0,100,5500,26,32,9995.0
86,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.3,172.4,65.4,51.6,2405,122,3.35,3.46,8.5,88,5000,25,32,8189.0
152,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,158.7,63.6,54.5,2015,92,3.05,3.03,9.0,62,4800,31,38,6488.0
111,0,gas,std,four,sedan,rwd,front,I_Rotor,two_three_four,mpfi_s,mid_level,107.9,186.7,68.4,56.7,3075,120,3.46,2.19,8.4,95,5000,19,24,15580.0
87,1_2_level_pos,gas,turbo,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,96.3,172.4,65.4,51.6,2403,110,3.17,3.46,7.5,116,5500,23,30,9279.0
62,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,98.8,177.8,66.5,55.5,2410,122,3.39,3.39,8.6,84,4800,26,32,10245.0
128,3,gas,std,two,level_convertible_hardtop,rwd,rear,OHC_DOHC_ohcf,five_six,mpfi_s,high_end,89.5,168.9,65.0,51.6,2800,194,3.74,2.9,9.5,207,5900,17,25,37028.0
148,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.9,173.6,65.4,54.9,2420,108,3.62,2.64,9.0,82,4800,23,29,8013.0
74,1_2_level_pos,gas,std,two,level_convertible_hardtop,rwd,front,OHCV_DOHCV,eight_twelve,mpfi_s,high_end,112.0,199.2,72.0,55.4,3715,304,3.8,3.35,8.0,184,4500,14,16,45400.0
39,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,175.4,65.2,54.1,2304,110,3.15,3.58,9.0,86,5800,27,33,8845.0
139,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.9,63.6,53.7,2120,108,3.62,2.64,8.7,73,4400,26,31,7053.0
172,1_2_level_pos,gas,std,two,level_convertible_hardtop,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,98.4,176.2,65.6,53.0,2975,146,3.62,3.5,9.3,116,4800,24,30,17669.0
154,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,169.7,63.6,59.1,2290,92,3.05,3.03,9.0,62,4800,27,32,7898.0
199,level-1_-2,gas,turbo,four,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,104.3,188.8,67.2,57.5,3157,130,3.62,3.15,7.5,162,5100,17,22,18950.0
204,level-1_-2,gas,turbo,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,109.1,188.8,68.9,55.5,3062,141,3.78,3.15,9.5,114,5400,19,25,22625.0
176,level-1_-2,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,102.4,175.6,66.5,54.9,2414,122,3.31,3.54,8.7,92,4200,27,32,10898.0
189,3,gas,std,two,level_convertible_hardtop,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,94.5,159.3,64.2,55.6,2254,109,3.19,3.4,8.5,90,5500,24,29,11595.0
141,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,97.2,172.0,65.4,52.5,2145,108,3.62,2.64,9.5,82,4800,32,37,7126.0
81,3,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.3,173.0,65.4,49.4,2328,122,3.35,3.46,8.5,88,5000,25,32,8499.0
79,1_2_level_pos,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl4_spdi_spfi,entry_level,93.0,157.3,63.8,50.8,2145,98,3.03,3.39,7.6,102,5500,24,30,7689.0
149,0,gas,turbo,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,96.9,173.6,65.4,54.9,2650,108,3.62,2.64,7.7,111,4800,23,23,11694.0
90,1_2_level_pos,diesel,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,94.5,165.3,63.8,54.5,2017,103,2.99,3.47,21.9,55,4800,45,50,7099.0
17,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,110.0,197.0,70.9,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,36880.0
76,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,64.4,50.8,1918,92,2.97,3.23,9.4,68,5500,37,41,5389.0
156,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,166.3,64.4,53.0,2081,98,3.19,3.03,9.0,70,4800,30,37,6938.0
13,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,101.2,176.8,64.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,21105.0
110,0,diesel,turbo,four,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,idi,mid_level,114.2,198.9,68.4,58.7,3430,152,3.7,3.52,21.0,95,4150,25,25,13860.0
140,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.3,157.3,63.8,55.7,2240,108,3.62,2.64,8.7,73,4400,26,31,7603.0
165,1_2_level_pos,gas,std,two,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,94.5,168.7,64.0,52.6,2265,98,3.24,3.08,9.4,112,6600,26,29,9298.0
30,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,86.6,144.6,63.9,50.8,1713,92,2.91,3.41,9.6,58,4800,49,54,6479.0
29,3,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,95.9,173.2,66.3,50.2,2811,156,3.6,3.9,7.0,145,5000,19,24,12964.0
190,3,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,94.5,165.7,64.0,51.4,2221,109,3.19,3.4,8.5,90,5500,24,29,9980.0
126,3,gas,std,two,level_convertible_hardtop,rwd,rear,OHC_DOHC_ohcf,five_six,mpfi_s,high_end,89.5,168.9,65.0,51.6,2756,194,3.74,2.9,9.5,207,5900,17,25,32528.0
33,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,150.0,64.0,52.6,1940,92,2.91,3.41,9.2,76,6000,30,34,6529.0
95,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,165.6,63.8,53.3,2028,97,3.15,3.29,9.4,69,5200,31,37,7799.0
203,level-1_-2,diesel,turbo,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,idi,mid_level,109.1,188.8,68.9,55.5,3217,145,3.01,3.4,23.0,106,4800,26,27,22470.0
7,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,105.8,192.7,71.4,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,18920.0
195,level-1_-2,gas,std,four,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,104.3,188.8,67.2,57.5,3034,141,3.78,3.15,9.5,114,5400,23,28,13415.0
181,level-1_-2,gas,std,four,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,entry_level,104.5,187.8,66.5,54.1,3151,161,3.27,3.35,9.2,156,5200,19,24,15750.0
117,0,gas,turbo,four,sedan,rwd,front,I_Rotor,two_three_four,mpfi_s,mid_level,108.0,186.7,68.3,56.0,3130,134,3.61,3.21,7.0,142,5600,18,24,18150.0
69,0,diesel,turbo,two,level_convertible_hardtop,rwd,front,OHC_DOHC_ohcf,five_six,idi,high_end,106.7,187.5,70.3,54.9,3495,183,3.58,3.64,21.5,123,4350,22,25,28176.0
58,3,gas,std,two,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,mpfi_s,entry_level,95.3,169.0,65.7,49.6,2500,80,3.33,3.255,9.4,135,6000,16,23,15645.0
193,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,100.4,183.1,66.9,55.1,2563,109,3.19,3.4,9.0,88,5500,25,31,12290.0
130,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,96.1,181.5,66.5,55.2,2579,132,3.46,3.9,8.7,90,5100,23,31,9295.0
18,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,I_Rotor,two_three_four,bbl1_2,entry_level,88.4,141.1,60.3,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,5151.0
174,level-1_-2,diesel,turbo,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,idi,entry_level,102.4,175.6,66.5,54.9,2480,110,3.27,3.35,22.5,73,4500,30,33,10698.0
166,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,94.5,168.7,64.0,52.6,2300,98,3.24,3.08,9.4,112,6600,26,29,9538.0
51,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.1,159.1,64.2,54.1,1900,91,3.03,3.15,9.0,68,5000,31,38,6095.0
35,0,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,163.4,64.0,54.5,2010,92,2.91,3.41,9.2,76,6000,30,34,7295.0
26,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.6,1989,90,2.97,3.23,9.4,68,5500,31,38,7609.0
57,3,gas,std,two,level_wagon_hatchback,rwd,front,I_Rotor,two_three_four,bbl4_spdi_spfi,entry_level,95.3,169.0,65.7,49.6,2385,70,3.33,3.255,9.4,101,6000,17,23,13645.0
164,1_2_level_pos,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,168.7,64.0,52.6,2204,98,3.19,3.03,9.0,70,4800,29,34,8238.0
196,level-1_-2,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,104.3,188.8,67.2,56.2,2935,141,3.78,3.15,9.5,114,5400,24,28,15985.0
112,0,diesel,turbo,four,sedan,rwd,front,I_Rotor,two_three_four,idi,mid_level,107.9,186.7,68.4,56.7,3252,152,3.7,3.52,21.0,95,4150,28,33,16900.0
61,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,98.8,177.8,66.5,53.7,2385,122,3.39,3.39,8.6,84,4800,26,32,10595.0
175,level-1_-2,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,102.4,175.6,66.5,53.9,2414,122,3.31,3.54,8.7,92,4200,27,32,9988.0
72,3,gas,std,two,level_convertible_hardtop,rwd,front,OHCV_DOHCV,eight_twelve,mpfi_s,high_end,96.6,180.3,70.5,50.8,3685,234,3.46,3.1,8.3,155,4750,16,18,35056.0
147,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,97.0,173.5,65.4,53.0,2455,108,3.62,2.64,9.0,94,5200,25,31,10198.0
99,0,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,97.2,173.4,65.2,54.7,2324,120,3.33,3.47,8.5,97,5200,27,34,8949.0
118,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.8,1918,90,2.97,3.23,9.4,68,5500,37,41,5572.0
150,1_2_level_pos,gas,std,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,95.7,158.7,63.6,54.5,1985,92,3.05,3.03,9.0,62,4800,35,39,5348.0
93,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,94.5,170.2,63.8,53.5,2024,97,3.15,3.29,9.4,69,5200,31,37,7349.0
9,0,gas,turbo,two,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,99.5,178.2,67.9,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,17859.167
27,1_2_level_pos,gas,turbo,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,entry_level,93.7,157.3,63.8,50.6,2191,98,3.03,3.39,7.6,102,5500,24,30,8558.0
70,level-1_-2,diesel,turbo,four,sedan,rwd,front,OHC_DOHC_ohcf,five_six,idi,high_end,115.6,202.6,71.7,56.3,3770,183,3.58,3.64,21.5,123,4350,22,25,31600.0
6,1_2_level_pos,gas,std,four,sedan,4wd_fed,front,OHC_DOHC_ohcf,five_six,mpfi_s,mid_level,105.8,192.7,71.4,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,17710.0
11,0,gas,std,four,sedan,rwd,front,OHC_DOHC_ohcf,two_three_four,mpfi_s,mid_level,101.2,176.8,64.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,16925.0
179,3,gas,std,two,level_wagon_hatchback,rwd,front,OHC_DOHC_ohcf,five_six,mpfi_s,entry_level,102.9,183.5,67.7,52.0,3016,171,3.27,3.35,9.3,161,5200,19,24,15998.0
120,1_2_level_pos,gas,std,four,level_wagon_hatchback,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,93.7,157.3,63.8,50.6,1967,90,2.97,3.23,9.4,68,5500,31,38,6229.0
42,1_2_level_pos,gas,std,two,sedan,4wd_fed,front,OHC_DOHC_ohcf,two_three_four,bbl1_2,entry_level,96.5,169.1,66.0,51.0,2293,110,3.15,3.58,9.1,100,5500,25,31,10345.0
